Date,AAPL,GOOGL,MSFT
2023-01-03,124.04804992675781,89.01783752441406,236.60922241210938
2023-01-04,125.32750701904297,87.9790267944336,226.25918579101562
2023-01-05,123.99845886230469,86.10118103027344,219.55335998535156
2023-01-06,128.56088256835938,87.2398681640625,222.140869140625
2023-01-09,129.08653259277344,87.9190902709961,224.3037109375
2023-01-10,129.6617889404297,88.31863403320312,226.0122528076172
2023-01-11,132.39926147460938,91.41507720947266,232.84646606445312
2023-01-12,132.31991577148438,91.02552795410156,235.55247497558594
2023-01-13,133.65887451171875,92.01439666748047,236.26356506347656
2023-01-17,134.82923889160156,91.18534851074219,237.3696746826172
2023-01-18,134.10519409179688,91.01554870605469,232.88597106933594
2023-01-19,134.16470336914062,92.9433364868164,229.05406188964844
2023-01-20,136.7434539794922,97.90763092041016,237.24130249023438
2023-01-23,139.9569854736328,99.67560577392578,239.57200622558594
2023-01-24,141.36537170410156,97.58799743652344,239.03872680664062
2023-01-25,140.70086669921875,95.11083984375,237.62644958496094
2023-01-26,142.78372192382812,97.408203125,244.9248046875
2023-01-27,144.7375946044922,99.25608825683594,245.0828399658203
2023-01-30,141.83154296875,96.82887268066406,239.70040893554688
2023-01-31,143.11099243164062,98.72669219970703,244.73716735839844
2023-02-01,144.24168395996094,100.31487274169922,249.61590576171875
2023-02-02,149.58766174316406,107.61648559570312,261.3189392089844
2023-02-03,153.23757934570312,104.65988159179688,255.14646911621094
2023-02-06,150.49021911621094,102.78203582763672,253.58604431152344
2023-02-07,153.38636779785156,107.5166015625,264.24224853515625
2023-02-08,150.67868041992188,99.25608825683594,263.42254638671875
2023-02-09,149.63720703125,94.90108489990234,260.3511657714844
2023-02-10,150.00477600097656,94.46158599853516,259.83758544921875
2023-02-13,152.8258819580078,94.50154113769531,267.95562744140625
2023-02-14,152.18020629882812,94.57146453857422,268.7951354980469
2023-02-15,154.29603576660156,96.82887268066406,266.6466369628906
2023-02-16,152.6868133544922,95.4005126953125,259.54779052734375
2023-02-17,151.53453063964844,94.24183654785156,255.49839782714844
2023-02-21,147.49160766601562,91.68477630615234,250.16192626953125
2023-02-22,147.91876220703125,91.54493713378906,249.013427734375
2023-02-23,148.40548706054688,90.78580474853516,252.24107360839844
2023-02-24,145.73341369628906,89.02782440185547,246.74618530273438
2023-02-27,146.9353485107422,89.76697540283203,247.67684936523438
2023-02-28,146.42874145507812,89.95675659179688,246.94418334960938
2023-03-01,144.34271240234375,90.25641632080078,243.825439453125
2023-03-02,144.93873596191406,91.89453125,248.61740112304688
2023-03-03,150.02462768554688,93.54264068603516,252.7559051513672
2023-03-06,152.80601501464844,95.02094268798828,254.32022094726562
2023-03-07,150.59085083007812,93.75240325927734,251.62722778320312
2023-03-08,151.85238647460938,94.14195251464844,251.18170166015625
2023-03-09,149.5875701904297,92.21416473388672,249.81541442871094
2023-03-10,147.511474609375,90.5261001586914,246.12240600585938
2023-03-13,149.4683837890625,91.00555419921875,251.39950561523438
2023-03-14,151.57424926757812,93.86227416992188,258.2013244628906
2023-03-15,151.97158813476562,95.99982452392578,262.8051452636719
2023-03-16,154.81256103515625,100.20499420166016,273.4583740234375
2023-03-17,153.9682159423828,101.50350952148438,276.6562805175781
2023-03-20,156.3522491455078,101.10396575927734,269.5277404785156
2023-03-21,158.2197265625,104.79972076416016,271.0623779296875
2023-03-22,156.77938842773438,103.25150299072266,269.587158203125
2023-03-23,157.87205505371094,105.47894287109375,274.9038391113281
2023-03-24,159.18325805664062,105.31912994384766,277.78497314453125
2023-03-27,157.22637939453125,102.34254455566406,273.6365966796875
2023-03-28,156.60057067871094,100.91417694091797,272.49798583984375
2023-03-29,159.69981384277344,101.27376556396484,277.7255554199219
2023-03-30,161.2792205810547,100.77433776855469,281.23040771484375
2023-03-31,163.8023223876953,103.61109161376953,285.438232421875
2023-04-03,165.06385803222656,104.24036407470703,284.37890625
2023-04-04,164.5274658203125,104.5999526977539,284.3293762207031
2023-04-05,162.66990661621094,104.3502426147461,281.5175476074219
2023-04-06,163.5639190673828,108.29570770263672,288.70550537109375
2023-04-10,160.95140075683594,106.31798553466797,286.5174255371094
2023-04-11,159.7296142578125,105.2292251586914,280.02252197265625
2023-04-12,159.03427124023438,104.5200424194336,280.6759948730469
2023-04-13,164.4579315185547,107.30684661865234,286.96295166015625
2023-04-14,164.11026000976562,108.74519348144531,283.2996826171875
2023-04-17,164.13011169433594,105.84851837158203,285.9332275390625
2023-04-18,165.3618621826172,104.38020324707031,285.507568359375
2023-04-19,166.51416015625,104.0605697631836,285.58673095703125
2023-04-20,165.5406494140625,105.16929626464844,283.26995849609375
2023-04-21,163.92152404785156,105.2891616821289,282.9234619140625
2023-04-24,164.22947692871094,105.84851837158203,278.9730529785156
2023-04-25,162.67984008789062,103.73094940185547,272.6861267089844
2023-04-26,162.66990661621094,103.59111022949219,292.4380798339844
2023-04-27,167.28895568847656,107.46665954589844,301.8041687011719
2023-04-28,168.55047607421875,107.2169418334961,304.2100830078125
2023-05-01,168.4611053466797,107.07710266113281,302.5269470214844
2023-05-02,167.41807556152344,105.19926452636719,302.3783874511719
2023-05-03,166.3353271484375,105.2891616821289,301.3784484863281
2023-05-04,164.68637084960938,104.56999206542969,302.3783874511719
2023-05-05,172.4146270751953,105.448974609375,307.56640625
2023-05-08,172.34506225585938,107.64645385742188,305.58624267578125
2023-05-09,170.62660217285156,107.22693634033203,303.9526062011719
2023-05-10,172.40467834472656,111.62189483642578,309.20989990234375
2023-05-11,172.5933837890625,116.43636322021484,307.03173828125
